ingredient_id,unit_price,source_invoice,observed_date
00000000-0000-0000-0000-000000000001,0.469,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000002,1.125,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000003,0.3124,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000004,0.1875,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000005,0.62475,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000006,0.156,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000007,0.37488,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000008,1.5623,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000009,0.1875,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000010,0.75024,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000011,0.625,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000012,0.156,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000013,0.078,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000014,0.75,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000015,1.3754,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000016,0.56232,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000017,0.18785,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000018,0.25,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000019,0.09,seed_estimate,2026-06-01
00000000-0000-0000-0000-000000000020,0.20,seed_estimate,2026-06-01
